كلمة,слово,learned,last_review,interval
رَبٌّ,Господь,False,,1
رَحْمَٰنٌ,Милостивый,False,,1
رَحِيمٌ,Милосердный,False,,1
دِينٌ,Религия,False,,1
صِرَاطٌ,Путь,False,,1
هُدًى,Наставление,False,,1
كِتَابٌ,Книга,False,,1
إِيمَانٌ,Вера,False,,1
غَيْبٌ,Сокровенное,False,,1
صَلَاةٌ,Молитва,False,,1
زَكَاةٌ,Закят,False,,1
كَافِرٌ,Неверующий,False,,1
مُؤْمِنٌ,Верующий,False,,1
آيَةٌ,Знамение,False,,1
نَارٌ,Огонь,False,,1
جَنَّةٌ,Рай,False,,1
عِلْمٌ,Знание,False,,1
حِكْمَةٌ,Мудрость,False,,1
صَبْرٌ,Терпение,False,,1
شُكْرٌ,Благодарность,False,,1
ذِكْرٌ,Поминание,False,,1
رَحْمَةٌ,Милость,False,,1
مَغْفِرَةٌ,Прощение,False,,1
عَذَابٌ,Наказание,False,,1
تَوْبَةٌ,Покаяние,False,,1
دُعَاءٌ,Мольба,False,,1
حَقٌّ,Истина,False,,1
بَاطِلٌ,Ложь,False,,1
نُورٌ,Свет,False,,1
ظُلُمَاتٌ,Тьма,False,,1
أَرْضٌ,Земля,False,,1
سَمَاءٌ,Небо,False,,1
مَاءٌ,Вода,False,,1
شَمْسٌ,Солнце,False,,1
قَمَرٌ,Луна,False,,1
نَجْمٌ,Звезда,False,,1
بَحْرٌ,Море,False,,1
جَبَلٌ,Гора,False,,1
شَجَرَةٌ,Дерево,False,,1
ثَمَرٌ,Плод,False,,1
حَيَاةٌ,Жизнь,False,,1
مَوْتٌ,Смерть,False,,1
آخِرَةٌ,Последняя жизнь,False,,1
دُنْيَا,Мирская жизнь,False,,1
قِيَامَةٌ,Воскресение,False,,1
حِسَابٌ,Расчёт,False,,1
مِيزَانٌ,Весы,False,,1
فَوْزٌ,Успех,False,,1
خُسْرَانٌ,Потеря,False,,1
خَيْرٌ,Добро,False,,1
شَرٌّ,Зло,False,,1
حَلَالٌ,Дозволенное,False,,1
حَرَامٌ,Запретное,False,,1
بَرَكَةٌ,Благословение,False,,1
رِزْقٌ,Удел,False,,1
نِعْمَةٌ,Благо,False,,1
فَضْلٌ,Милость,False,,1
قَلْبٌ,Сердце,False,,1
نَفْسٌ,Душа,False,,1
رُوحٌ,Дух,False,,1
عَقْلٌ,Разум,False,,1
فِكْرٌ,Мысль,False,,1
خَوْفٌ,Страх,False,,1
أَمَلٌ,Надежда,False,,1
حُبٌّ,Любовь,False,,1
حُزْنٌ,Печаль,False,,1
فَرَحٌ,Радость,False,,1
عَدْلٌ,Справедливость,False,,1
ظُلْمٌ,Несправедливость,False,,1
صِدْقٌ,Правдивость,False,,1
كَذِبٌ,Ложь,False,,1
صَالِحٌ,Праведный,False,,1
فَاسِقٌ,Нечестивец,False,,1
مُنَافِقٌ,Лицемер,False,,1
مُتَّقِي,Богобоязненный,False,,1
مُسْلِمٌ,Мусульманин,False,,1
رَسُولٌ,Посланник,False,,1
نَبِيٌّ,Пророк,False,,1
مَلَكٌ,Ангел,False,,1
جِبْرِيلُ,Джибриль,False,,1
آدَمُ,Адам,False,,1
إِبْرَاهِيمُ,Ибрахим,False,,1
مُوسَىٰ,Муса,False,,1
عِيسَىٰ,Иса,False,,1
مُحَمَّدٌ,Мухаммад,False,,1
نُوحٌ,Нух,False,,1
يُوسُفُ,Юсуф,False,,1
مَرْيَمُ,Марьям,False,,1
فِرْعَوْنُ,Фараон,False,,1
إِبْلِيسُ,Иблис,False,,1
شَيْطَانٌ,Шайтан,False,,1
سَبِيلٌ,Путь,False,,1
طَرِيقٌ,Дорога,False,,1
وَعْدٌ,Обещание,False,,1
عَهْدٌ,Договор,False,,1
أُمَّةٌ,Община,False,,1
قَوْمٌ,Народ,False,,1
رَجُلٌ,Мужчина,False,,1
امْرَأَةٌ,Женщина,False,,1
أَبٌ,Отец,False,,1
أُمٌّ,Мать,False,,1
ابْنٌ,Сын,False,,1
بِنْتٌ,Дочь,False,,1
أَخٌ,Брат,False,,1
أُخْتٌ,Сестра,False,,1
زَوْجٌ,Супруг,False,,1
وَلَدٌ,Ребёнок,False,,1
بَيْتٌ,Дом,False,,1
بَابٌ,Дверь,False,,1
ثَوْبٌ,Одежда,False,,1
طَعَامٌ,Еда,False,,1
شَرَابٌ,Напиток,False,,1
خُبْزٌ,Хлеб,False,,1
تَمْرٌ,Финик,False,,1
لَبَنٌ,Молоко,False,,1
لَحْمٌ,Мясо,False,,1
ذَهَبٌ,Золото,False,,1
فِضَّةٌ,Серебро,False,,1
مَالٌ,Имущество,False,,1
يَدٌ,Рука,False,,1
وَجْهٌ,Лицо,False,,1
عَيْنٌ,Глаз,False,,1
أُذُنٌ,Ухо,False,,1
لِسَانٌ,Язык,False,,1
قَدَمٌ,Нога,False,,1
دَمٌ,Кровь,False,,1
جَسَدٌ,Тело,False,,1
نَصْرٌ,Помощь,False,,1
جِهَادٌ,Усердие,False,,1
شَهِيدٌ,Свидетель,False,,1
كَرِيمٌ,Щедрый,False,,1
غَفُورٌ,Прощающий,False,,1
عَزِيزٌ,Могущественный,False,,1
حَكِيمٌ,Мудрый,False,,1
سَمِيعٌ,Слышащий,False,,1
بَصِيرٌ,Видящий,False,,1
عَلِيمٌ,Знающий,False,,1
وَلِيٌّ,Покровитель,False,,1
وَكِيلٌ,Покровитель,False,,1
حَمِيدٌ,Хвалимый,False,,1
مَجِيدٌ,Славный,False,,1
حَيٌّ,Живой,False,,1
قَيُّومٌ,Сущий,False,,1
أَحَدٌ,Единственный,False,,1
وَاحِدٌ,Единый,False,,1
صَمَدٌ,Самодостаточный,False,,1
قَادِرٌ,Могущий,False,,1
عَظِيمٌ,Великий,False,,1
كَبِيرٌ,Великий,False,,1
قَوِيٌّ,Сильный,False,,1
مَتِينٌ,Крепкий,False,,1
لَطِيفٌ,Добрый,False,,1
خَبِيرٌ,Осведомлённый,False,,1
تَوَّابٌ,Принимающий покаяние,False,,1
عَفُوٌّ,Прощающий,False,,1
رَؤُوفٌ,Сострадательный,False,,1
غَنِيٌّ,Богатый,False,,1
هَادِي,Наставляющий,False,,1